GEOID,NAME,lat,lon,avg_rent_est,median_rent_est,pct_rent_lt_750,pct_rent_ge_1000,rent_afford_score
A01,NSA A01,33.84715916673932,-84.44482421192312,1975.296442687747,1750,0,70.1,18.531976744186046
A02,NSA A02,33.86229970436782,-84.42232101333505,1753.2763532763533,1750,9.7,74.4,22.456395348837205
A03,NSA A03,33.864344563138275,-84.39716734279786,1523.8857938718663,1250,1.7,90.3,5.087209302325581
B01,NSA B01,33.83448305729851,-84.38973257782071,1465.560263653484,1250,9.6,80.6,17.877906976744182
B02,NSA B02,33.846104010676626,-84.38224371803167,1694.8325163398692,1750,3.4,83.8,11.04651162790698
B03,NSA B03,33.8679585735012,-84.38402526277113,1483.0426356589148,1250,0,93.5,1.5261627906976705
B04,NSA B04,33.86344337665323,-84.36966110155036,1712.2452038369304,1750,5.3,82.8,13.154069767441856
B05,NSA B05,33.86808548710644,-84.35307810607678,1903.828413284133,1750,0,87.1,6.177325581395349
B06,NSA B06,33.84971742660314,-84.35745839117546,1926.7395182872435,1750,0.9,74.9,15.697674418604649
B07,NSA B07,33.838650492639886,-84.36766476542584,1676.8385650224216,1750,5.9,67.8,24.49127906976744
B08,NSA B08,33.83602912031734,-84.35389166919147,1447.7753153767474,1250,4.9,84.7,11.482558139534882
B09,NSA B09,33.83058191286129,-84.37569387711929,1491.1912104857363,1250,8.3,64.6,28.561046511627907
B10,NSA B10,33.82041331694645,-84.38204050663462,1455.7481751824816,1250,0,76.8,13.662790697674417
B11,NSA B11,33.82361310800767,-84.3658545431133,1537.209084084084,1750,2.4,91.7,4.578488372093021
C01,NSA C01,33.8242197126977,-84.44010627746707,1443.436754176611,1250,4.1,74.5,18.313953488372086
C02,NSA C02,33.81722670042642,-84.4251721450626,1469.2307692307693,1250,2.7,73.9,17.73255813953488
C03,NSA C03,33.833238910839846,-84.41749738715623,1288.4241245136186,1250,39.9,49.3,62.64534883720929
C04,NSA C04,33.83032869724332,-84.4006127697691,1572.5108225108224,1750,1.8,81.8,11.337209302325578
C05,NSA C05,33.812136693260626,-84.40134944032316,1481.0778727445395,1750,7.9,80.9,16.42441860465116
C06,NSA C06,33.81461292075516,-84.4143869054092,1526.639344262295,1250,0,95.6,0
D01,NSA D01,33.81514161795649,-84.46502439465705,1317.388888888889,1250,11.9,73.7,24.563953488372086
D02,NSA D02,33.80742319376638,-84.42612551925191,1420.5994291151285,1250,2.9,80.4,13.154069767441856
D03,NSA D03,33.79920311273376,-84.43294621089032,1406.0322854715378,1250,4.5,79.2,15.188953488372087
E01,NSA E01,33.79681074542907,-84.38004864102858,1677.7846534653465,1750,5.2,71.3,21.438953488372096
E02,NSA E02,33.77651773933193,-84.3997197901687,1468.75,1250,5.6,76.6,17.877906976744182
E03,NSA E03,33.804136122231945,-84.39674139844814,1487.7241673783092,1750,9.4,77.4,20.05813953488372
E04,NSA E04,33.794715024844415,-84.4014875682775,1514.6954866775422,1250,4.9,79,15.625
E05,NSA E05,33.8088098952036,-84.38602745806529,1134.006076388889,1250,26.8,60.3,45.13081395348837
E06,NSA E06,33.78485443440723,-84.40212412469378,1663.2614942528735,1750,6.1,75.6,18.96802325581395
E07,NSA E07,33.782539034844696,-84.38069461995761,1596.0309908930271,1750,7.9,72.8,22.31104651162791
F01,NSA F01,33.80744090855169,-84.37133828996674,1374.1973559962228,1250,5.8,85.2,11.77325581395348
F02,NSA F02,33.81697433994881,-84.35538283155296,1345.014705882353,1250,6.3,85,12.281976744186041
F03,NSA F03,33.781188385119485,-84.35795664522283,1390.1628804114873,1250,12.5,72.1,26.16279069767442
F04,NSA F04,33.799142377086255,-84.35593018203072,1810.659574468085,1750,2.1,77.2,14.89825581395348
F05,NSA F05,33.79781153408351,-84.3227854052032,1637.752646775746,1750,1.6,80.9,11.845930232558127
G01,NSA G01,33.79589148439344,-84.48747284924177,1022.4496221662469,875,17.1,45.6,48.76453488372093
G02,NSA G02,33.78537983939898,-84.46725378562365,740.485564304462,625,56.9,27.8,90.625
G03,NSA G03,33.79305168150583,-84.4532253138654,883.4307992202729,875,36.4,33.7,71.43895348837208
H01,NSA H01,33.779282483331464,-84.50473998793855,971.7095851216023,875,21.5,46.5,51.30813953488372
H02,NSA H02,33.75920051067879,-84.50262015524227,825.8878504672897,875,35.9,27.1,75.87209302325581
H03,NSA H03,33.740764383747965,-84.50749131490397,870.474372955289,875,41.8,32.9,75.94476744186048
H04,NSA H04,33.749485356058905,-84.52264403575758,909.321175278622,875,31,37.3,64.89825581395348
I01,NSA I01,33.742068421795445,-84.45646749218785,874.7986577181208,875,34.4,29.4,73.11046511627907
I02,NSA I02,33.72451863712243,-84.48794753170911,1169.0265486725664,1250,17.6,55.1,42.223837209302324
I03,NSA I03,33.74044594828362,-84.47553020723304,831.7218543046357,875,38.6,20.5,82.63081395348837
I04,NSA I04,33.77115814312975,-84.48369156886046,1074.3311641359364,1250,17.4,53.9,42.950581395348834
I05,NSA I05,33.74549321158145,-84.48870182961612,769.5515196441809,875,49.4,19.4,91.27906976744185
J01,NSA J01,33.76953783147973,-84.46509819615808,786.1304347826087,625,50.9,28,86.11918604651163
J02,NSA J02,33.773157407440465,-84.44528607858436,953.015350877193,875,26.7,41.2,58.93895348837209
J03,NSA J03,33.75770234474612,-84.45163642638558,909.4235751295337,875,30.1,35.4,65.625
K01,NSA K01,33.755137542198725,-84.43311286290054,979.5384615384615,875,31.6,44.4,60.17441860465116
K02,NSA K02,33.76616208602511,-84.42359081899396,904.6691176470588,875,42.6,33.5,76.09011627906976
K03,NSA K03,33.781513711596496,-84.42392305270526,1344.949494949495,1250,8.7,86.5,12.936046511627906
L01,NSA L01,33.75906657041234,-84.41013814507066,964.0865737344094,875,18.1,39.8,53.70639534883721
L02,NSA L02,33.77034522494482,-84.41080765398912,1039.4168466522679,875,31,46.8,57.99418604651163
M01,NSA M01,33.75797489959486,-84.39218882059525,1172.5910470409713,1250,24.3,61.8,42.223837209302324
M02,NSA M02,33.76252016991545,-84.37186081021665,1281.296992481203,1250,24,66.2,38.808139534883715
N01,NSA N01,33.75014505643128,-84.35777301449879,1378.3415841584158,1250,12.1,66.7,29.796511627906973
N02,NSA N02,33.764480985665784,-84.35662203466835,1484.4302325581396,1250,6.6,74.3,20.27616279069767
N03,NSA N03,33.77052245419481,-84.34040187561081,1291.404282115869,1250,5.6,70.5,22.3110465116279
N04,NSA N04,33.76547294498826,-84.32651860121285,1463.339222614841,1250,0,64.6,22.52906976744186
O01,NSA O01,33.746267142487106,-84.30297425603284,827.567760342368,875,42.1,38.7,71.94767441860466
O02,NSA O02,33.75303957849476,-84.32396539016624,1229.25,1250,20.4,53.4,45.49418604651162
O03,NSA O03,33.75504640572348,-84.3411031511565,1196.7225609756097,1250,21.1,61.4,40.18895348837209
P01,NSA P01,33.68232497266215,-84.52860099934473,1115.232683982684,1250,17.4,58,39.97093023255814
P02,NSA P02,33.6643240530689,-84.51186513352799,1109.1044776119404,1250,20.9,56.3,43.75
P03,NSA P03,33.70634371083544,-84.50512806888152,1063.5416666666667,1250,10.9,50.4,40.770348837209305
P04,NSA P04,33.70463957649284,-84.51593378581546,1045.2772073921972,875,13.3,49.8,42.950581395348834
P05,NSA P05,33.709590172160254,-84.53074625386203,989.0532544378698,875,21.7,47.3,50.872093023255815
P06,NSA P06,33.68112048549101,-84.50770150912953,1108.8500563697858,1250,20.9,56.3,43.75
Q01,NSA Q01,33.72037251049365,-84.54004945498814,1039.9262899262899,1250,18,52.3,44.549418604651166
R01,NSA R01,33.70286203842276,-84.45976103466236,719.1240086517664,625,50.7,8.7,100
R02,NSA R02,33.707836984039496,-84.47918097635605,995.0701754385965,875,14.6,37.2,53.05232558139535
R03,NSA R03,33.6829967381849,-84.49129069225336,936.644591611479,875,23,40,57.122093023255815
S01,NSA S01,33.72546030619916,-84.42708186746788,973.6969696969697,875,21.3,38.7,56.8313953488372
S02,NSA S02,33.712362379079956,-84.43950204927809,971.198296836983,875,24.5,42.5,56.395348837209305
S03,NSA S03,33.727610631174095,-84.44962201261693,1123.5588972431078,1250,6.1,56,33.212209302325576
T01,NSA T01,33.74828454156355,-84.42117648248936,879.4219653179191,875,33.9,33.8,69.54941860465115
T02,NSA T02,33.74913224799419,-84.41084052924592,955.5155875299761,875,33.3,42.9,62.5
T03,NSA T03,33.740308599143994,-84.43964928999185,955.8523409363745,875,34.8,41.3,64.75290697674419
T04,NSA T04,33.73779524510991,-84.42386506136147,826.6378012048193,875,47.7,35.1,78.63372093023256
V01,NSA V01,33.73914091777123,-84.3858739789225,949.1621621621622,875,38.6,44.8,64.97093023255815
V02,NSA V02,33.729079500887785,-84.40522250120155,911.8566904196358,875,34.8,39.2,66.27906976744185
V03,NSA V03,33.726851102747354,-84.38666703830523,966.2760416666666,875,35.7,41.9,64.97093023255815
V04,NSA V04,33.73813159030667,-84.39764065505202,824.0033222591362,875,45.1,31.7,79.21511627906978
W01,NSA W01,33.73771156571623,-84.37097004670035,1425.9564643799472,1250,5.7,77,17.65988372093023
W02,NSA W02,33.71739551207869,-84.3583224966851,1033.7344720496894,875,25.5,44.5,55.66860465116279
W03,NSA W03,33.734459793386755,-84.35452597650831,1424.6845425867507,1750,7.8,80.3,16.787790697674414
W04,NSA W04,33.73500559691808,-84.33701530323876,1205.6211180124224,1250,25,68.2,38.081395348837205
X01,NSA X01,33.717360437518074,-84.41149186821906,1258.9912280701753,1250,5.8,86.2,11.046511627906968
X02,NSA X02,33.68823941416809,-84.40853323273592,842.1270718232045,875,45.2,31.4,79.50581395348838
X03,NSA X03,33.67693797934014,-84.40746928718787,801.6493055555555,875,42.1,27.7,79.94186046511629
X04,NSA X04,33.70599414829503,-84.41550733471131,991.3541666666666,1250,31.6,51,55.377906976744185
X05,NSA X05,33.65351313173374,-84.42398022200636,null,null,null,null,null
Y01,NSA Y01,33.71675101633773,-84.37313592323139,842.485549132948,875,46.8,11.8,94.91279069767442
Y02,NSA Y02,33.711084325835486,-84.39730362099367,855.6748466257669,875,36,39.3,67.07848837209302
Y03,NSA Y03,33.71524658504721,-84.38657681040344,812.3181377303589,875,46.9,28.9,82.55813953488372
Y04,NSA Y04,33.703884245372215,-84.38461154931397,898.0276134122288,875,28,40.3,60.537790697674424
Z01,NSA Z01,33.69163429826394,-84.36315276362974,962.9815100154083,875,21.7,38.3,57.412790697674424
Z02,NSA Z02,33.7017367767188,-84.35680737346233,715.7635467980296,625,50.8,20.4,91.56976744186048
Z03,NSA Z03,33.66463397108052,-84.38395568640209,907.1876867901973,875,32.2,36.7,66.2063953488372
Z04,NSA Z04,33.6888641766859,-84.38599604357752,976.5643802647413,875,23.2,37.2,59.302325581395344
Z05,NSA Z05,33.66516050749491,-84.36025795962708,941.8544194107452,875,27.3,39.1,60.90116279069767
